#SampleID	num	count	group
HC100	24775.0	215.619	HC
HC100	24800.0	215.62	HC
HC100	24900.0	215.771	HC
HC100	25000.0	215.984	HC
HC100	25100.0	216.257	HC
HC100	25200.0	216.502	HC
HC100	25288.0	216.593	HC
HC100	25300.0	216.653	HC
HC100	25357.0	216.864	HC
HC100	25400.0	216.956	HC
HC100	25500.0	217.139	HC
HC100	25507.0	217.169	HC
HC100	25524.0	217.199	HC
HC100	25575.0	217.2	HC
HC100	25600.0	217.2	HC
HC100	25700.0	217.472	HC
HC100	25717.0	217.502	HC
HC100	25743.0	217.502	HC
HC100	25800.0	217.503	HC
HC100	25819.0	217.594	HC
HC100	25900.0	217.804	HC
HC100	25923.0	217.865	HC
HC100	25943.0	217.925	HC
HC100	25962.0	217.926	HC
HC100	26000.0	218.016	HC
HC100	26087.0	218.136	HC
HC100	26100.0	218.167	HC
HC100	26183.0	218.287	HC
HC100	26200.0	218.378	HC
HC100	26201.0	218.378	HC
HC100	26300.0	218.559	HC
HC100	26400.0	218.652	HC
HC100	26412.0	218.652	HC
HC100	26500.0	218.714	HC
HC100	26526.0	218.806	HC
HC100	26570.0	218.987	HC
HC100	26600.0	219.018	HC
HC100	26700.0	219.139	HC
HC100	26800.0	219.386	HC
HC100	26815.0	219.446	HC
HC100	26900.0	219.597	HC
HC100	26920.0	219.658	HC
HC100	27000.0	219.779	HC
HC100	27015.0	219.839	HC
HC100	27070.0	219.989	HC
HC100	27072.0	219.99	HC
HC100	27099.0	220.05	HC
HC100	27100.0	220.05	HC
HC100	27200.0	220.081	HC
HC100	27205.0	220.081	HC
HC100	27282.0	220.261	HC
HC100	27295.0	220.321	HC
HC100	27300.0	220.351	HC
HC100	27359.0	220.501	HC
HC100	27392.0	220.591	HC
HC100	27400.0	220.591	HC
HC100	27461.0	220.652	HC
HC100	27500.0	220.682	HC
HC100	27554.0	220.713	HC
HC100	27586.0	220.833	HC
HC100	27600.0	220.834	HC
HC100	27653.0	221.016	HC
HC100	27668.0	221.048	HC
HC100	27700.0	221.049	HC
HC100	27800.0	221.17	HC
HC100	27864.0	221.23	HC
HC100	27900.0	221.32	HC
HC100	28000.0	221.475	HC
HC100	28100.0	221.806	HC
HC100	28114.0	221.836	HC
HC100	28135.0	221.836	HC
HC100	28200.0	221.957	HC
HC100	28201.0	221.957	HC
HC100	28267.0	222.047	HC
HC100	28283.0	222.047	HC
HC100	28300.0	222.077	HC
HC100	28321.0	222.077	HC
HC100	28362.0	222.228	HC
HC100	28400.0	222.258	HC
HC100	28500.0	222.382	HC
HC100	28506.0	222.382	HC
HC100	28600.0	222.534	HC
HC100	28666.0	222.595	HC
HC100	28700.0	222.656	HC
HC100	28751.0	222.807	HC
HC100	28783.0	222.837	HC
HC100	28800.0	222.867	HC
HC100	28805.0	222.867	HC
HC100	28900.0	223.081	HC
HC100	29000.0	223.293	HC
HC100	29100.0	223.476	HC
HC100	29137.0	223.686	HC
HC100	29200.0	223.838	HC
HC100	29300.0	223.959	HC
HC100	29388.0	224.079	HC
HC100	29400.0	224.109	HC
HC100	29500.0	224.381	HC
HC100	29600.0	224.684	HC
HC100	29700.0	224.896	HC
HC100	29734.0	224.926	HC
HC100	29800.0	225.019	HC
HC100	29900.0	225.082	HC
HC100	29943.0	225.173	HC
HC100	30000.0	225.263	HC
HC100	30033.0	225.353	HC
HC100	30100.0	225.385	HC
HC100	30200.0	225.596	HC
HC100	30300.0	225.746	HC
HC100	30350.0	225.9	HC
HC100	30400.0	225.933	HC
HC100	30500.0	226.086	HC
HC100	30567.0	226.146	HC
HC100	30600.0	226.21	HC
HC100	30700.0	226.36	HC
HC100	30800.0	226.453	HC
HC100	30823.0	226.483	HC
HC100	30900.0	226.665	HC
HC100	30977.0	226.819	HC
HC100	31000.0	226.879	HC
HC100	31054.0	226.999	HC
HC100	31100.0	227.029	HC
HC100	31164.0	227.152	HC
HC100	31200.0	227.152	HC
HC100	31300.0	227.394	HC
HC100	31400.0	227.664	HC
HC100	31500.0	227.905	HC
HC100	31517.0	227.935	HC
HC100	31600.0	228.026	HC
HC100	31700.0	228.117	HC
HC100	31800.0	228.268	HC
HC100	31896.0	228.332	HC
HC100	31900.0	228.362	HC
HC100	31908.0	228.362	HC
HC100	32000.0	228.364	HC
HC100	32100.0	228.454	HC
HC100	32200.0	228.725	HC
HC100	32300.0	228.965	HC
HC100	32400.0	229.24	HC
HC100	32500.0	229.514	HC
HC100	32537.0	229.604	HC
HC100	32600.0	229.727	HC
HC100	32700.0	229.94	HC
HC100	32727.0	230.0	HC
HC101	1.0	1.0	HC
HC101	100.0	28.658	HC
HC101	200.0	40.369	HC
HC101	300.0	48.48	HC
HC101	400.0	56.338	HC
HC101	500.0	61.527	HC
HC101	600.0	66.557	HC
HC101	700.0	69.938	HC
HC101	800.0	73.701	HC
HC101	900.0	77.008	HC
HC101	1000.0	79.618	HC
HC101	1100.0	82.709	HC
HC101	1200.0	85.254	HC
HC101	1300.0	87.735	HC
HC101	1400.0	90.338	HC
HC101	1500.0	92.762	HC
HC101	1600.0	94.821	HC
HC101	1700.0	97.156	HC
HC101	1800.0	98.65	HC
HC101	1900.0	100.745	HC
HC101	2000.0	102.597	HC
HC101	2100.0	104.02	HC
HC101	2200.0	105.75	HC
HC101	2300.0	107.479	HC
HC101	2400.0	109.233	HC
HC101	2500.0	110.901	HC
HC101	2600.0	112.571	HC
HC101	2700.0	114.179	HC
HC101	2800.0	116.142	HC
HC101	2900.0	117.446	HC
HC101	3000.0	118.594	HC
HC101	3100.0	119.925	HC
HC101	3200.0	121.075	HC
HC101	3300.0	122.231	HC
HC101	3400.0	123.358	HC
HC101	3500.0	124.508	HC
HC101	3600.0	125.693	HC
HC101	3700.0	126.839	HC
HC101	3800.0	128.106	HC
HC101	3900.0	129.528	HC
HC101	4000.0	130.502	HC
HC101	4100.0	131.616	HC
HC101	4200.0	133.005	HC
HC101	4300.0	133.793	HC
HC101	4400.0	134.466	HC
HC101	4500.0	135.552	HC
HC101	4600.0	136.494	HC
HC101	4700.0	137.43	HC
HC101	4800.0	138.453	HC
HC101	4900.0	139.243	HC
HC101	5000.0	140.27	HC
HC101	5100.0	140.846	HC
HC101	5200.0	141.451	HC
HC101	5300.0	142.238	HC
HC101	5400.0	143.026	HC
HC101	5500.0	143.843	HC
HC101	5600.0	144.42	HC
HC101	5700.0	145.36	HC
HC101	5800.0	145.911	HC
HC101	5900.0	146.456	HC
HC101	6000.0	147.239	HC
HC101	6100.0	148.234	HC
HC101	6200.0	148.907	HC
HC101	6300.0	149.754	HC
HC101	6400.0	150.75	HC
HC101	6500.0	151.296	HC
HC101	6600.0	151.816	HC
HC101	6700.0	152.453	HC
HC101	6800.0	153.091	HC
HC101	6900.0	153.815	HC
HC101	7000.0	154.719	HC
HC101	7100.0	155.025	HC
HC101	7200.0	155.752	HC
HC101	7300.0	156.178	HC
HC101	7400.0	156.663	HC
HC101	7500.0	157.392	HC
HC101	7600.0	157.817	HC
HC101	7700.0	158.303	HC
HC101	7800.0	158.676	HC
HC101	7900.0	159.251	HC
HC101	8000.0	159.827	HC
HC101	8100.0	160.433	HC
HC101	8200.0	160.829	HC
HC101	8300.0	161.526	HC
HC101	8400.0	161.948	HC
HC101	8500.0	162.403	HC
HC101	8600.0	162.917	HC
HC101	8700.0	163.254	HC
HC101	8800.0	163.828	HC
HC101	8900.0	164.344	HC
HC101	9000.0	164.768	HC
HC101	9100.0	165.252	HC
HC101	9200.0	165.797	HC
HC101	9300.0	166.251	HC
HC101	9400.0	166.676	HC
HC101	9500.0	167.282	HC
HC101	9600.0	167.675	HC
HC101	9700.0	168.101	HC
HC101	9800.0	168.348	HC
HC101	9900.0	168.622	HC
HC101	10000.0	168.985	HC
HC101	10100.0	169.287	HC
HC101	10200.0	169.563	HC
HC101	10300.0	169.867	HC
HC101	10400.0	170.2	HC
HC101	10500.0	170.654	HC
HC101	10600.0	171.015	HC
HC101	10700.0	171.316	HC
HC101	10800.0	171.527	HC
HC101	10900.0	171.863	HC
HC101	11000.0	172.227	HC
HC101	11100.0	172.589	HC
HC101	11200.0	173.012	HC
HC101	11300.0	173.345	HC
HC101	11400.0	173.678	HC
HC101	11500.0	173.919	HC
HC101	11600.0	174.313	HC
HC101	11700.0	174.677	HC
HC101	11800.0	175.013	HC
HC101	11900.0	175.228	HC
HC101	12000.0	175.529	HC
HC101	12100.0	175.953	HC
HC101	12200.0	176.284	HC
HC101	12300.0	176.586	HC
HC101	12400.0	176.768	HC
HC101	12500.0	177.222	HC
HC101	12600.0	177.675	HC
HC101	12700.0	178.037	HC
HC101	12800.0	178.344	HC
HC101	12900.0	178.648	HC
HC101	13000.0	178.921	HC
HC101	13100.0	179.164	HC
HC101	13200.0	179.404	HC
HC101	13300.0	179.618	HC
HC101	13400.0	179.802	HC
HC101	13500.0	180.194	HC
HC101	13600.0	180.408	HC
HC101	13700.0	180.711	HC
HC101	13737.0	180.801	HC
HC101	13800.0	181.044	HC
HC101	13900.0	181.229	HC
HC101	14000.0	181.442	HC
HC101	14100.0	181.775	HC
HC101	14200.0	182.047	HC
HC101	14300.0	182.291	HC
HC101	14357.0	182.502	HC
HC101	14400.0	182.562	HC
HC101	14500.0	182.954	HC
HC101	14600.0	183.197	HC
HC101	14700.0	183.561	HC
HC101	14800.0	183.896	HC
HC101	14900.0	184.019	HC
HC101	15000.0	184.382	HC
HC101	15013.0	184.442	HC
HC101	15100.0	184.776	HC
HC101	15200.0	185.019	HC
HC101	15300.0	185.291	HC
HC101	15400.0	185.685	HC
HC101	15405.0	185.685	HC
HC101	15500.0	185.839	HC
HC101	15600.0	186.112	HC
HC101	15700.0	186.383	HC
HC101	15800.0	186.597	HC
HC101	15837.0	186.749	HC
HC101	15900.0	186.961	HC
HC101	16000.0	187.172	HC
HC101	16037.0	187.202	HC
HC101	16100.0	187.263	HC
HC101	16200.0	187.744	HC
HC101	16300.0	188.107	HC
HC101	16400.0	188.591	HC
HC101	16490.0	188.867	HC
HC101	16500.0	188.957	HC
HC101	16600.0	189.167	HC
HC101	16700.0	189.472	HC
HC101	16800.0	189.864	HC
HC101	16900.0	189.956	HC
HC101	16965.0	190.136	HC
HC101	17000.0	190.257	HC
HC101	17100.0	190.38	HC
HC101	17186.0	190.502	HC
HC101	17200.0	190.563	HC
HC101	17300.0	190.961	HC
HC101	17400.0	191.263	HC
HC101	17500.0	191.503	HC
HC101	17600.0	191.654	HC
HC101	17700.0	191.986	HC
HC101	17756.0	192.109	HC
HC101	17800.0	192.169	HC
HC101	17900.0	192.41	HC
HC101	18000.0	192.653	HC
HC101	18100.0	192.868	HC
HC101	18171.0	193.17	HC
HC101	18200.0	193.2	HC
HC101	18300.0	193.53	HC
HC101	18400.0	193.772	HC
HC101	18421.0	193.772	HC
HC101	18500.0	193.863	HC
HC101	18600.0	194.197	HC
HC101	18653.0	194.347	HC
HC101	18700.0	194.409	HC
HC101	18719.0	194.499	HC
HC101	18800.0	194.682	HC
HC101	18900.0	194.952	HC
HC101	19000.0	195.254	HC
HC101	19100.0	195.584	HC
HC101	19200.0	195.704	HC
HC101	19220.0	195.735	HC
HC101	19300.0	195.857	HC
HC101	19400.0	196.068	HC
HC101	19500.0	196.25	HC
HC101	19600.0	196.401	HC
HC101	19602.0	196.401	HC
HC101	19656.0	196.462	HC
HC101	19700.0	196.522	HC
HC101	19728.0	196.613	HC
HC101	19800.0	196.733	HC
HC101	19861.0	196.884	HC
HC101	19868.0	196.884	HC
HC101	19900.0	196.885	HC
HC101	20000.0	197.277	HC
HC101	20070.0	197.458	HC
HC101	20100.0	197.548	HC
HC101	20190.0	197.64	HC
HC101	20200.0	197.641	HC
HC101	20215.0	197.671	HC
HC101	20259.0	197.821	HC
HC101	20300.0	197.884	HC
HC101	20400.0	198.216	HC
HC101	20500.0	198.518	HC
HC101	20600.0	198.729	HC
HC101	20700.0	198.85	HC
HC101	20800.0	199.035	HC
HC101	20849.0	199.066	HC
HC101	20883.0	199.128	HC
HC101	20900.0	199.128	HC
HC101	20949.0	199.311	HC
HC101	21000.0	199.373	HC
HC101	21024.0	199.464	HC
HC101	21100.0	199.615	HC
HC101	21200.0	199.859	HC
HC101	21300.0	200.192	HC
HC101	21400.0	200.465	HC
HC101	21458.0	200.556	HC
HC101	21500.0	200.647	HC
HC101	21587.0	200.767	HC
HC101	21600.0	200.827	HC
HC101	21700.0	201.07	HC
HC101	21800.0	201.403	HC
HC101	21894.0	201.614	HC
HC101	21897.0	201.614	HC
HC101	21900.0	201.614	HC
HC101	21918.0	201.644	HC
HC101	22000.0	201.795	HC
HC101	22100.0	202.005	HC
HC101	22200.0	202.276	HC
HC101	22201.0	202.276	HC
HC101	22300.0	202.401	HC
HC101	22400.0	202.554	HC
HC101	22500.0	202.735	HC
HC101	22600.0	202.945	HC
HC101	22640.0	203.005	HC
HC101	22700.0	203.068	HC
HC101	22800.0	203.22	HC
HC101	22900.0	203.463	HC
HC101	22934.0	203.495	HC
HC101	23000.0	203.586	HC
HC101	23100.0	203.886	HC
HC101	23200.0	204.037	HC
HC101	23300.0	204.19	HC
HC101	23400.0	204.34	HC
HC101	23500.0	204.523	HC
HC101	23509.0	204.523	HC
HC101	23527.0	204.583	HC
HC101	23600.0	204.646	HC
HC101	23614.0	204.706	HC
HC101	23664.0	204.767	HC
HC101	23700.0	204.857	HC
HC101	23712.0	204.857	HC
HC101	23798.0	205.068	HC
HC101	23800.0	205.068	HC
HC101	23900.0	205.371	HC
HC101	24000.0	205.553	HC
HC101	24100.0	205.854	HC
HC101	24164.0	205.944	HC
HC101	24200.0	205.975	HC
HC101	24221.0	206.005	HC
HC101	24290.0	206.096	HC
HC101	24300.0	206.096	HC
HC101	24316.0	206.126	HC
HC101	24400.0	206.276	HC
HC101	24449.0	206.337	HC
HC101	24496.0	206.427	HC
HC101	24500.0	206.457	HC
HC101	24547.0	206.549	HC
HC101	24600.0	206.64	HC
HC101	24607.0	206.67	HC
HC101	24645.0	206.701	HC
HC101	24685.0	206.732	HC
HC101	24700.0	206.732	HC
HC101	24775.0	206.855	HC
HC101	24800.0	207.065	HC
HC101	24900.0	207.155	HC
HC101	25000.0	207.308	HC
HC101	25100.0	207.401	HC
HC101	25200.0	207.611	HC
HC101	25288.0	207.764	HC
HC101	25300.0	207.765	HC
HC101	25357.0	207.856	HC
HC101	25400.0	207.976	HC
HC101	25500.0	208.158	HC
HC101	25507.0	208.189	HC
HC101	25524.0	208.219	HC
HC101	25575.0	208.28	HC
HC101	25600.0	208.31	HC
HC101	25700.0	208.461	HC
HC101	25717.0	208.491	HC
HC101	25743.0	208.582	HC
HC101	25800.0	208.704	HC
HC101	25819.0	208.704	HC
HC101	25900.0	208.825	HC
HC101	25923.0	208.885	HC
HC101	25943.0	208.916	HC
HC101	25962.0	208.946	HC
HC101	26000.0	208.977	HC
HC101	26087.0	209.042	HC
HC101	26100.0	209.042	HC
HC101	26183.0	209.132	HC
HC101	26200.0	209.133	HC
HC101	26201.0	209.133	HC
HC101	26300.0	209.404	HC
HC101	26400.0	209.675	HC
HC101	26412.0	209.705	HC
HC101	26500.0	209.829	HC
HC101	26526.0	209.83	HC
HC101	26570.0	209.95	HC
HC101	26600.0	209.981	HC
HC101	26700.0	210.195	HC
HC101	26800.0	210.377	HC
HC101	26815.0	210.408	HC
HC101	26900.0	210.619	HC
HC101	26920.0	210.679	HC
HC101	27000.0	210.8	HC
HC101	27015.0	210.83	HC
HC101	27070.0	210.95	HC
HC101	27072.0	210.95	HC
HC101	27099.0	210.95	HC
HC101	27100.0	210.95	HC
HC101	27200.0	211.131	HC
HC101	27205.0	211.131	HC
HC101	27282.0	211.343	HC
HC101	27295.0	211.373	HC
HC101	27300.0	211.373	HC
HC101	27359.0	211.435	HC
HC101	27392.0	211.525	HC
HC101	27400.0	211.525	HC
HC101	27461.0	211.678	HC
HC101	27500.0	211.709	HC
HC101	27554.0	211.8	HC
HC101	27586.0	211.89	HC
HC101	27600.0	211.951	HC
HC101	27653.0	212.042	HC
HC101	27668.0	212.072	HC
HC101	27700.0	212.132	HC
HC101	27800.0	212.253	HC
HC101	27864.0	212.493	HC
HC101	27900.0	212.523	HC
HC101	28000.0	212.703	HC
HC101	28100.0	212.854	HC
HC101	28114.0	212.854	HC
HC101	28135.0	212.854	HC
HC101	28200.0	212.974	HC
HC101	28201.0	212.974	HC
HC101	28267.0	213.154	HC
HC101	28283.0	213.304	HC
HC101	28300.0	213.304	HC
HC101	28321.0	213.305	HC
HC101	28362.0	213.396	HC
HC101	28400.0	213.427	HC
HC101	28500.0	213.669	HC
HC101	28506.0	213.669	HC
HC101	28600.0	213.791	HC
HC101	28666.0	213.852	HC
HC101	28700.0	213.912	HC
HC101	28751.0	214.062	HC
HC101	28783.0	214.094	HC
HC101	28800.0	214.094	HC
HC101	28805.0	214.094	HC
HC101	28900.0	214.186	HC
HC101	29000.0	214.337	HC
HC101	29100.0	214.399	HC
HC101	29137.0	214.46	HC
HC101	29200.0	214.67	HC
HC101	29300.0	214.794	HC
HC101	29388.0	214.884	HC
HC101	29400.0	214.884	HC
HC101	29500.0	214.975	HC
HC101	29600.0	215.125	HC
HC101	29700.0	215.338	HC
HC101	29734.0	215.338	HC
HC101	29800.0	215.4	HC
HC101	29900.0	215.553	HC
HC101	29943.0	215.613	HC
HC101	30000.0	215.735	HC
HC101	30033.0	215.737	HC
HC101	30100.0	215.828	HC
HC101	30200.0	216.009	HC
HC101	30300.0	216.221	HC
HC101	30350.0	216.251	HC
HC101	30400.0	216.341	HC
HC101	30500.0	216.522	HC
HC101	30567.0	216.643	HC
HC101	30600.0	216.703	HC
HC101	30700.0	217.003	HC
HC101	30800.0	217.154	HC
HC101	30823.0	217.154	HC
HC101	30900.0	217.245	HC
HC101	30977.0	217.305	HC
HC101	31000.0	217.426	HC
HC101	31054.0	217.517	HC
HC101	31100.0	217.548	HC
HC101	31164.0	217.638	HC
HC101	31200.0	217.668	HC
HC101	31300.0	217.822	HC
HC101	31400.0	217.975	HC
HC101	31500.0	218.097	HC
HC101	31517.0	218.098	HC
HC101	31600.0	218.218	HC
HC101	31700.0	218.309	HC
HC101	31800.0	218.46	HC
